Job Title,Job Description,Job Location,Employer Brand Name,Salary Lower Range,Salary Upper Range,Shift Timings,Calling Hours,Accommodation Provided,English Proficiency,Additional Perks,Active,Create Date,Job Post Id,Employer Id
Halwai Chef (Commi),"- Prepare and cook a variety of Indian sweets and desserts. 
- Follow traditional recipes and techniques to maintain authenticity. 
- Ensure high quality and consistent taste of sweets and desserts. 
- Monitor inventory and order ingredients and supplies. 
- Adhere to food safety and hygiene standards.",Palanpur. Gujarat,Guptaji Restaurant ,20000.00,25000.00,11:00 AM - 11:00 PM,09:00 AM - 07:00 PM,true,BEGINNER,,true,2025-07-01 10:19:59.324,6ac2f1f3-daa4-4e68-a07f-fbe920293606,efe1e428-21c1-4f41-893e-293ea931256d
Cashier,"- Handle cash transactions accurately and process payments. 
- Maintain an organized cash register and reconcile cash drawer. 
- Ensure proper billing and issue receipts. 
- Assist customers with any payment-related inquiries.",Ahmedabad,Only Burgers,12000.00,14000.00,02:00 PM - 12:00 AM, - ,true,GOOD,,false,2024-06-13 08:16:40.528,6be14d4c-848b-490a-8755-51c8c4f78575,c0791635-dee1-4949-bdfc-34e51ed4c5ab
Receptionist,Receptionist,Bengaluru,Andhra United kitchen,15000.00,20000.00,10:00 AM - 07:00 PM, - ,true,GOOD,,true,2025-03-26 16:45:20.898,6bf6c71e-e051-4528-aa9d-5f02bc833f14,b782faaf-1bef-4483-8874-ab4cf3019dec
Hostess,"- Greet and seat guests, manage reservations, and handle waitlists. 
- Provide accurate wait time estimates and manage table assignments. 
- Assist in maintaining cleanliness and organization in the dining area. 
- Ensure a warm and welcoming atmosphere for guests.","Sindhubhavan Rd, Ahmedabad",BUBBLEPOP! Cafe,15000.00,18000.00, - ,10:00 AM - 8:00 PM,false,GOOD,,false,2023-09-15 00:00:00.0,6c3fdf5e-8b00-417f-951e-a87781f45b77,c2787436-70fb-44d5-985f-6fd66387ec9e
Dishwasher / KST (Kitchen Stewarding) / Moriwala,"- Operate and maintain dishwashing equipment, ensuring cleanliness and functionality.
- Wash and sanitize dishes, glassware, and utensils.
- Assist with kitchen cleaning and organization.
- Follow health and safety regulations.",Ahmedabad,The Espresso Bistro,8000.00,15000.00,08:00 AM - 12:00 PM, - ,true,BEGINNER,Health insurance & 3 time food,false,2023-10-03 00:00:00.0,6cd7b761-416b-4373-84db-60ec724f285d,002eeb18-763d-4f1f-a2ea-5e43273b2e74
Italian Chef (Commi),"- Prepare and cook Italian cuisine dishes, including pasta, risotto, and pizzas.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Italian kitchen section.
- Collaborate with other chefs for coordinated service.",Palghar,Breeze The Rooftop Cafe,15000.00,22000.00,11:00 AM - 11:00 PM, - ,true,GOOD,"2 Hours Break, Food, Accommodation, Uniform, Oppurtunity for growth ",false,2024-04-18 10:37:50.602,6d0a3f34-9f94-439c-8eaf-d85bed9b060a,fc249300-65d1-499c-b4bc-76430c776e99
Fast Food Chef (DCDP / CDP),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Chittorgarh. Rajesthan,Simple Cafe,16000.00,20000.00,11:00 AM - 11:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,false,2024-09-13 13:16:49.964,6d71378b-2c60-4d88-bb70-829a0e2738d4,0da8cb26-36ad-49d7-8520-6eccb5ea0e0b
Restaurant Manager / Outlet Manager,"- Oversee overall restaurant/venue operations, including staff, customer service, and profitability. 
- Develop and implement business strategies to meet goals. 
- Maintain quality standards, cleanliness, and adherence to regulations. 
- Manage budgets, analyze financial reports, and control costs.","Kopa Mall, Pune",Good Flippin Burgers,32000.00,40000.00, - , - ,false,BEGINNER,Bonus + Incentives,true,2024-12-27 08:33:24.881,6df34df6-fdaa-4189-9cef-60088b127604,de4ce4ff-e928-4e67-98c7-65e7730aa346
Shift Manager / Shift Supervisor,"- Ensure timely preparation and delivery of orders. 
- Coordinate between the kitchen and front of house staff. 
- Lead and manage the team on shift.. 
- Billing & settlements 
- Manage timing and efficiency of food preparation. 
- Handle communication and troubleshooting during service.","Udaipur, Rajasthan",Oliver Brown,20000.00,30000.00, - ,10:00 AM - 8:00 PM,false,GOOD,,false,2024-01-02 00:00:00.0,6e3d73bc-759b-4ffc-9f21-6a14577936c0,a8d9f2f2-046d-47d0-ad2e-f6adac6b2279
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Paldi, Ahmedabad",Chaai Seth,10000.00,15000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2024-01-17 00:00:00.0,6ef8c297-34aa-4a0a-9b05-1cc3b10c317c,94b6e108-d224-4328-a915-d09a5d9f1f38
Bakery & Pastry Chef (Commi),"- Prepare and bake a variety of pastries, cakes, and desserts.
- Create and develop new pastry recipes.
- Decorate and present pastries in an aesthetically pleasing manner.
- Maintain cleanliness and hygiene in the pastry section.","Santa Cruz East, Mumbai",Wildflower Bakehouse,20000.00,22000.00, - , - ,false,GOOD,,false,2024-08-31 07:36:10.904,6f34f219-06a0-4825-9dce-e9d410cbcbf4,0215fa8e-5efa-41dd-9065-1e05a3aad2e4
Continental Chef (Sous Chef),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.","Parel East, Mumbai",The Nutcracker,47000.00,52000.00, - , - ,false,EXPERT,Service Charge,false,2024-06-14 11:03:14.347,6f503529-0fb1-4f9b-9854-ae96ac91264e,46019804-9536-4faa-a4a5-6ffb7f4309a3
Front Office Executive,"- Manage guest check-ins, check-outs, and reservations efficiently.
- Handle guest inquiries and ensure prompt resolution of issues.
- Maintain records of daily operations and front desk activities.
- Coordinate with other departments to ensure guest satisfaction.
- Uphold professional standards in guest interactions and appearance.","Shantigram, Ahmedabad",Sodexo,28000.00,30000.00,11:00 AM - 09:00 PM,08:00 AM - 07:00 PM,true,GOOD,,true,2024-12-03 05:45:03.893,6f55a039-b615-4db7-b716-b78713181683,c84186b0-55c6-4a2c-8f06-cb0afc3e518f
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Udaipur, Rajasthan",Oliver Brown,13000.00,16000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2024-01-02 00:00:00.0,6fd890df-ee6a-4937-a227-a8bf3a085544,a8d9f2f2-046d-47d0-ad2e-f6adac6b2279
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","Bodakdev, Ahmedabad",BUBBLEPOP! Cafe,15000.00,17000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2024-01-08 00:00:00.0,700e534d-3724-49ef-8abc-20126d1cdf14,c2787436-70fb-44d5-985f-6fd66387ec9e
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.","Sonipat , Haryana",hungerguru,18000.00,22000.00, - , - ,true,BEGINNER,,true,2025-05-05 12:57:41.809,70914c44-7cf0-4afd-8342-b201397fba15,a9af91f9-60be-42a3-977f-863a7d76a325
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Ahmedabad Gandhinagar,HOCCO KITCHEN,14000.00,15000.00,11:00 AM - 11:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,true,2025-01-20 13:30:45.06,70b7845c-78ea-4fa2-9804-0d2ed18f6a73,3b374c9e-37b3-4ae1-bc8e-8b2aac4216e2
Dishwasher / KST (Kitchen Stewarding) / Moriwala,"- Operate and maintain dishwashing equipment, ensuring cleanliness and functionality.
- Wash and sanitize dishes, glassware, and utensils.
- Assist with kitchen cleaning and organization.
- Follow health and safety regulations.",Ahmedabad Gandhinagar,HOCCO KITCHEN,12000.00,13000.00,11:00 AM - 11:00 PM,10:00 AM - 11:00 PM,true,BEGINNER,,false,2025-01-20 13:33:44.79,70d47d4e-2866-441f-83ff-51be905a3fcc,3b374c9e-37b3-4ae1-bc8e-8b2aac4216e2
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Jaipur,Pearl Palace,20000.00,25000.00, - , - ,true,GOOD,,true,2025-01-25 10:11:29.576,70d54b56-9a72-4726-97a4-03ebfe365114,ba582051-f8be-4782-b656-bcc418657443
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.","Gotri, Vadodara",The Bakeyard,12000.00,14000.00, - , - ,false,BEGINNER,,true,2024-10-03 09:03:59.888,70d62d88-1cb3-4d91-b7c7-f6042af299b6,7ef7c748-25fe-4291-a6ae-eab065886b28
Fast Food Chef (Commi),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Rohini 17,TWOP,10000.00,15000.00,03:00 PM - 12:00 AM, - ,true,BEGINNER,,false,2025-03-19 05:11:32.46,70ff32a5-29db-4816-9619-c40a84f4cebe,9742cf0a-7f3e-4dba-8e40-8ea179f60cee
Continental Chef (Commi),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.","Circle 69, Worli, Mumbai,Maharashtra ",Urban Gourmet India Pvt Ltd ,13500.00,15000.00,10:00 AM - 08:00 PM,09:00 AM - 07:00 PM,false,GOOD,"Meals, Provident Fund, Insurance ",true,2025-06-19 07:33:22.51,713398b9-601c-47bc-a004-d54fc438400f,8c330b3a-4faf-4cac-ae7e-a1f2136d0a23
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Karelibaug, Baroda",Farki,9000.00,11000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-09-05 00:00:00.0,71667e25-518f-47df-8977-b27cd7e1f469,d39cd948-f320-43f5-96ec-f619ff10a1bf
F & B Manager,"- Oversee daily F&B operations to ensure smooth workflow and service standards.
- Manage inventory, ordering, and cost control to align with budget targets.
- Lead, train, and motivate the F&B team for optimal performance and teamwork.
- Enhance guest satisfaction by addressing feedback and improving service quality.
- Collaborate on menu planning and analyze sales data for strategic insights.",Jamnagar,Sodexo,65000.00,80000.00, - , - ,true,EXPERT,,false,2025-03-11 13:43:05.358,716b2f61-c92d-4340-a500-97f49e315fe6,c84186b0-55c6-4a2c-8f06-cb0afc3e518f
Chinese Chef (Commi 1 / 2 / 3),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.","Nashik, Maharashtra",Tomato's,16000.00,20000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2024-01-02 00:00:00.0,719529d8-62bf-42ef-bf90-63632c59d2a8,ca26b17b-c37c-42a7-a817-51dd482e7a90
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Hebatpur, Ahmedabad",La Milano Pizza,14000.00,20000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2023-09-05 00:00:00.0,72493e17-012c-4ce8-bc11-e10123fd470b,ba535daf-e08e-4932-867f-3c91001e2c67
Indian (Curry) Chef (Commi),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.","Panchkula , Haryana",Sifat by Jaskaran,20000.00,22000.00, - , - ,true,BEGINNER,,true,2025-04-30 11:27:00.566,7271d898-1f0f-4aa3-b28a-1915e4fcf05d,6dc67772-e8d1-4b96-8b24-95012c9dbe50
Pizza Chef (Commi),"- Prepare and cook pizzas, ensuring the right dough consistency and toppings.
- Operate pizza ovens and monitor cooking times for optimal results.
- Maintain cleanliness and organization in the pizza section.
- Collaborate with the kitchen team for efficient service.","Ahmedabad, Gujarat",Pitchza,15000.00,25000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,,false,2024-01-07 00:00:00.0,72c3e28a-6f18-4fab-bd00-dfd3911d381a,174767e4-32c1-40df-b17b-808435066a1c
Host/Hostess,"- Greet and seat guests, manage reservations, and handle waitlists. 
- Provide accurate wait time estimates and manage table assignments. 
- Assist in maintaining cleanliness and organization in the dining area. 
- Ensure a warm and welcoming atmosphere for guests.","chandkheda, Ahmedabad",522 Restaurants ,24000.00,27000.00, - , - ,true,GOOD,,true,2025-06-20 09:39:43.933,72fc1ec9-7846-413e-966a-efe223947e79,78e333fb-2258-495d-aeff-3f3c02bc6a8a
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","Jio World Drive, Mumbai",The Nutcracker,21600.00,24000.00, - , - ,false,GOOD,Service Charge,false,2024-05-27 13:09:28.827,740e12d8-db4f-43cf-83ff-c2d00dbec8d6,826d7e28-68cf-448e-af23-060e0c9d4e16
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","One42,Ahmedabad",Roastea,20000.00,22000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2023-12-04 00:00:00.0,74477926-2e4a-413f-abeb-b2b3adc7dbd5,01ae0af8-6290-4fba-af59-0d42f1ca9ae6
Counter Sales Person,"- Order taker for cloud kitchen. 
- Accept order on Zomato/Swiggy 
- Take order from WhatsApp and on call.
- Take orders & upsell
- Understand Guest requirements
- Maintain display & general store hygiene
- Order packaging
- experience person required. ","Ahmedabad, ",The meal theory ,16000.00,17000.00,10:00 AM - 11:00 PM, - ,true,GOOD,"Food and accommodation will be provided. 
3:00 pm to 6:00 pm break will be their. 
",true,2025-05-22 14:50:55.903,74e75929-1006-4220-9178-b0645b7d3e0a,33f482ac-d630-4307-8cbb-108abc039d62
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Vastrapur, Ahmedabad",La Milano Pizza,14000.00,20000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2023-09-05 00:00:00.0,751eeae5-8a25-48fa-a3f5-b43b5aa1f1e8,ba535daf-e08e-4932-867f-3c91001e2c67
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.",Ahmedabad Gandhinagar,HOCCO KITCHEN,18000.00,23000.00,11:00 AM - 11:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,false,2025-01-20 13:22:09.278,756ce658-aa62-4bb7-b3b0-5781701db720,3b374c9e-37b3-4ae1-bc8e-8b2aac4216e2
Pan-Asian Chef (Sous Chef),"- Prepare and cook a variety of pan-Asian cuisine dishes, including sushi, noodles, and stir-fries.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the pan-Asian kitchen section.
- Collaborate with the kitchen team for efficient service.","Kalali, Vadodara",Picaso The Master Chef,40000.00,45000.00, - , - ,true,GOOD,,false,2024-03-18 06:58:31.101,75993d89-ce8b-4b4b-aea9-9ddfe7b65070,9f962eec-4f7a-4f0e-83e3-e600eb7f6a14
Fast Food Chef (Commi),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Ahmedabad’,Only Burgers,14000.00,18000.00,02:00 PM - 12:00 AM, - ,true,BEGINNER,,false,2023-11-27 00:00:00.0,75a0814d-356f-4413-99f2-69cc0878bfd7,c0791635-dee1-4949-bdfc-34e51ed4c5ab
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Navrangpura, Ahmedabad",Bento B,18000.00,20000.00, - , - ,true,GOOD,Food,true,2025-01-29 12:17:37.238,75a9e694-da65-43f5-b823-b4b3962f9258,3c8e03f7-28ed-4398-b2fa-9196a9783962
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.","South Bopal, Ahmedabad",Ciao Pizzeria,11000.00,12000.00,03:00 PM - 11:00 PM,09:00 AM - 09:00 PM,true,BEGINNER,,false,2024-05-25 11:37:55.978,75c43411-2a3d-4b98-abbf-992bc0ea4297,53e6e9ba-d349-4d94-9202-b0787295cc3d
Host/Hostess,"- Greet and seat guests, manage reservations, and handle waitlists. 
- Provide accurate wait time estimates and manage table assignments. 
- Assist in maintaining cleanliness and organization in the dining area. 
- Ensure a warm and welcoming atmosphere for guests.","Ellisbridge, Ahmedabad",Patang Hotel,30000.00,35000.00, - ,10:00 AM - 8:00 PM,true,EXPERT,,false,2024-01-02 00:00:00.0,774cf32b-fcfd-4741-b75f-687838ba0011,590493cf-0ca2-4caa-8d26-0486912ae27d
Indian (Curry) Chef (Commi 1 / 2 / 3),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.",Tartine,Tartine,17000.00,20000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-10-31 00:00:00.0,77ec4805-9df7-4649-b6cc-5e7899fb60d5,a5965919-c5be-471c-b8d0-bd92b47de6e6
Head Chef/Executive Chef,"- Develop menus and create new dishes, ensuring quality and innovation.
- Oversee kitchen operations, including food preparation, cooking, and plating.
- Train and lead kitchen staff, ensuring high culinary standards.
- Manage inventory, control costs, and maintain hygiene and safety standards.","Ramdev Nagar, SG highway, Ahmedabad",Topspin,50000.00,80000.00, - , - ,true,GOOD,,true,2025-07-03 09:39:13.494,787306c8-f3bf-472b-80c9-b855ffe13de8,68131ae3-dbc0-4b56-8fe7-b67f9157c3e0
Kitchen Supervisor / Expeditor,"- Ensure timely preparation and delivery of orders. 
- Coordinate between the kitchen and front of house staff. 
- Communicate special requests, modifications, and timing to the kitchen. 
- Inspect dishes for accuracy, presentation, and quality. 
- Manage timing and efficiency of food preparation. 
- Handle communication and troubleshooting during service.",Ahmedabad Gandhinagar,HOCCO KITCHEN,16000.00,18000.00,11:00 AM - 11:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,false,2025-01-20 13:24:01.188,7875c5be-bbde-42be-8145-d969e97cb131,3b374c9e-37b3-4ae1-bc8e-8b2aac4216e2
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Indore,Dhaba Junction ,9000.00,14000.00,03:00 PM - 12:00 PM, - ,true,BEGINNER,,false,2024-04-27 09:00:33.593,7904bcfe-9136-47d9-9b0c-03f20521cb82,8db4f536-5747-47dc-836d-9f4795087d24
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.",Ahmedabad Gandhinagar,HOCCO KITCHEN,16000.00,18000.00,11:00 AM - 11:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,false,2025-01-20 13:29:20.496,79292fd8-76ef-4939-a854-56feb8377975,3b374c9e-37b3-4ae1-bc8e-8b2aac4216e2
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Sindhu bhavan, Ahmedabad",BUBBLEPOP! Cafe,15000.00,17000.00, - , - ,true,BEGINNER,food,true,2025-03-17 12:21:08.219,797376dc-42c6-4f88-81a0-1b9cc9e22881,c2787436-70fb-44d5-985f-6fd66387ec9e
Host/Hostess,"- Greet and seat guests, manage reservations, and handle waitlists. 
- Provide accurate wait time estimates and manage table assignments. 
- Assist in maintaining cleanliness and organization in the dining area. 
- Ensure a warm and welcoming atmosphere for guests.",Ahmedabad,Temptt Restro And Cafe ,10000.00,16000.00,01:00 PM - 10:00 PM, - ,true,GOOD,,false,2023-10-09 00:00:00.0,797ed86c-fcee-4310-99b5-e3fca56d5381,db88b9e8-ac45-4fda-813c-984494e7abdb
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.",Jaipur,Must Be Healthy,10000.00,15000.00,10:00 PM - 10:00 PM,09:00 PM - 09:00 PM,true,BEGINNER,,false,2024-07-05 11:15:33.303,799371c1-a5f7-4387-9972-872a45e6d31a,2e527e5f-d537-4338-9d5d-2b1ee4448459
Fast Food Chef (Commi),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Ahmedabad,Only Burgers,15000.00,18000.00,02:00 PM - 12:00 PM, - ,true,BEGINNER,,true,2024-08-21 10:54:49.535,79cdc42a-bd1b-48bd-8c6d-b8d3a086d5af,c0791635-dee1-4949-bdfc-34e51ed4c5ab
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","Indore, MP",Oliver Brown,16000.00,22000.00,11:00 PM - 08:00 PM,09:00 AM - 09:00 PM,true,BEGINNER,,false,2024-07-08 05:33:34.949,7a07a75b-b2b4-4e10-9212-7a15218ef928,3bdeb8be-31cf-4ca1-88a7-37acfe639e44
Indian (Curry) Chef (Sous Chef),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.","Jamnagar, Gujarat",Sodexo,60000.00,75000.00, - , - ,true,GOOD,Food & Accommodation,false,2025-03-04 12:08:43.789,7a07aae0-1ad4-4093-93da-e8fa6c1ee0d0,c84186b0-55c6-4a2c-8f06-cb0afc3e518f
Host/Hostess,"- Greet and seat guests, manage reservations, and handle waitlists. 
- Provide accurate wait time estimates and manage table assignments. 
- Assist in maintaining cleanliness and organization in the dining area. 
- Ensure a warm and welcoming atmosphere for guests.","Tribeca Highstreet, Pune",Good Flippin Burgers,20000.00,22000.00, - , - ,false,BEGINNER,Bonus + Incentives,false,2024-12-27 08:23:41.546,7a99458a-6bc1-4d8f-bebe-0f5a24b9eeee,de4ce4ff-e928-4e67-98c7-65e7730aa346
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.","kharghar , Navi Mumbai",Sai Sip and munch,15000.00,16000.00, - , - ,false,BEGINNER,,true,2025-05-21 12:40:15.976,7acbc397-ec60-414d-931d-2070d9a5cd4a,2811f03b-d5dd-470f-9152-1656b8a4129f
South Indian Chef (Commi),"- Prepare and cook South Indian cuisine dishes, including dosas, idlis, and curries.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the South Indian kitchen section.
- Collaborate with other chefs for coordinated service.","Dandia Bazar, Vadodara",Bombay Masala,18000.00,20000.00, - , - ,true,BEGINNER,,true,2025-05-07 12:30:13.464,7addfd3e-a1cc-4414-a777-f2bdd21a16fa,9545dfd1-23e9-41fa-8d05-bf06a167c59f
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.","Baner Balewadi, Pune",Mithai Online,12000.00,14000.00,08:00 AM - 06:00 PM,10:00 AM - 07:00 PM,true,BEGINNER,,true,2025-03-18 10:49:30.153,7b1d40fd-38ad-4ef4-9832-24c932438f53,3b0084ea-0332-4dc3-ab85-89f669048e67
HR Executive,"Farki New 
Recruitment 
Payroll Management 
Esic/PF
Leave Management 
HR policy 
Employee Relations 
Employee Performance 
Employee Appraisal 
Employee joining Process & Exit Formalities 
Employee Data Management",Ahemdabad,Farki,35000.00,40000.00,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,false,GOOD,,false,2024-04-25 13:30:07.968,7b9f8f5a-5e04-4b67-9dcd-3af7049e69d5,d39cd948-f320-43f5-96ec-f619ff10a1bf
Fast Food Chef (Sous Chef),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Ahmedabad,Only Burgers,13000.00,19000.00,02:00 PM - 12:00 AM, - ,true,GOOD,,false,2023-09-27 00:00:00.0,7bd7687a-e984-4ae5-b5fc-0bc207dde8a3,c0791635-dee1-4949-bdfc-34e51ed4c5ab
Chaat Chef (Commi),"- Prepare and assemble a variety of Indian street food snacks and chaats. 
- Create flavorful chutneys, sauces, and garnishes. 
- Maintain consistency and authenticity of chaat flavors. 
- Coordinate with the kitchen team for timely preparation and service. 
- Ensure cleanliness and hygiene in the preparation area.","Balewadi, Pune",Mithai Online,15000.00,20000.00,08:00 AM - 06:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,true,2025-03-18 11:10:51.439,7c2189d7-00be-44e1-9e6c-8d7d14af3de7,3b0084ea-0332-4dc3-ab85-89f669048e67
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Mahalaxmi Mumbai,27 Pizza & Bakes,15000.00,18000.00,12:00 PM - 10:00 PM,08:00 AM - 08:00 PM,false,GOOD,,false,2024-07-18 13:45:03.196,7c3f8397-1400-4e29-8316-a1c63f77b1eb,592ed27c-e091-44bf-89c7-30443145c0ab
